,0
793,72
794,96
795,92
796,105
797,91
798,107
799,94
800,100
801,105
802,92
803,102
804,88
805,91
806,111
807,97
808,90
809,106
810,77
811,79
812,97
813,91
814,86
815,101
816,102
817,104
818,82
819,79
820,100
821,94
822,100
823,102
824,103
825,117
826,74
827,101
828,111
829,95
830,97
831,93
832,90
833,95
834,70
835,100
836,100
837,85
838,78
839,113
840,88
841,92
842,128
843,102
844,101
845,98
846,85
847,101
848,103
849,92
850,88
851,99
852,85
853,80
854,77
855,64
856,115
857,89
858,87
859,102
860,64
861,100
862,81
863,83
864,105
865,65
866,70
867,101
868,108
869,121
870,92
871,91
872,98
873,131
874,62
875,92
876,79
877,92
878,71
879,86
880,87
881,67
882,94
883,88
884,90
885,56
886,97
887,105
888,81
889,96
890,117
891,113
892,88
893,101
894,124
895,102
896,88
897,91
898,116
899,78
900,98
901,90
902,95
903,93
904,84
905,66
906,72
907,91
908,103
909,99
910,76
911,98
912,101
913,68
914,79
915,121
916,86
917,99
918,99
919,91
920,83
921,82
922,117
923,93
924,82
925,91
926,90
927,102
928,80
929,99
930,81
931,108
932,102
933,84
934,89
935,74
936,109
937,83
938,103
939,98
940,61
941,95
942,98
943,87
944,80
945,87
946,80
947,96
948,97
949,105
950,96
951,84
952,98
953,77
954,69
955,95
956,82
957,87
958,86
959,118
960,86
961,130
962,93
963,85
964,93
965,107
966,109
967,103
968,83
969,88
970,84
971,88
972,90
973,78
974,70
975,94
976,112
977,80
978,79
979,94
980,87
981,92
982,90
983,79
984,103
985,116
986,84
987,94
988,75
989,93
990,110
991,79
992,86
993,96
994,88
995,93
996,67
997,96
998,118
999,79
1000,107
1001,92
1002,92
1003,77
1004,79
1005,94
1006,68
1007,87
1008,100
1009,96
1010,90
1011,74
1012,115
1013,108
1014,75
1015,102
1016,72
1017,59
1018,84
1019,112
1020,75
1021,79
1022,67
1023,98
1024,96
1025,91
1026,105
1027,109
1028,95
1029,67
1030,93
1031,91
1032,89
1033,79
1034,72
1035,80
1036,86
1037,85
1038,94
1039,78
1040,79
1041,79
1042,86
1043,71
1044,88
1045,78
1046,95
1047,102
1048,58
1049,96
1050,80
1051,97
1052,89
1053,90
1054,83
1055,96
1056,101
1057,86
1058,86
1059,84
1060,96
1061,93
1062,90
1063,84
1064,105
1065,91
1066,81
1067,70
1068,89
1069,91
1070,88
1071,94
1072,102
1073,77
1074,102
1075,90
1076,88
1077,112
1078,81
1079,80
1080,91
1081,75
1082,98
1083,75
1084,73
1085,95
1086,108
1087,86
1088,79
1089,82
1090,76
1091,96
1092,109
1093,69
1094,111
1095,76
1096,95
1097,88
1098,90
1099,80
1100,79
1101,97
1102,84
1103,91
1104,91
1105,81
1106,80
1107,91
1108,102
1109,100
1110,88
1111,76
1112,82
1113,79
1114,91
1115,86
1116,103
1117,94
1118,63
1119,72
1120,98
1121,86
1122,98
1123,99
1124,77
1125,108
1126,64
1127,97
1128,91
1129,75
1130,88
1131,99
1132,101
1133,62
1134,77
1135,91
1136,67
1137,94
1138,106
1139,92
1140,98
1141,92
1142,112
1143,103
1144,60
1145,82
1146,88
1147,102
1148,81
1149,84
1150,91
1151,89
1152,81
1153,95
1154,96
1155,80
1156,84
1157,99
1158,77
1159,90
1160,100
1161,102
1162,62
1163,84
1164,83
1165,81
1166,71
1167,85
1168,69
1169,55
1170,60
1171,69
1172,43
1173,61
1174,35
1175,49
1176,52
1177,37
1178,29
1179,18
1180,34
1181,23
1182,23
1183,14
1184,17
1185,11
1186,26
1187,12
1188,11
1189,7
1190,9
1191,2
